,Russian,French,Spanish,Japanese,Chinese,Turkish,Portuguese,Korean,German,Italian
Russian,0.8770563857842522,0.7736916548797736,0.7735636884072786,0.7640581412421084,0.760931289040318,0.7777615001464987,0.7658031088082902,0.7678294026267476,0.7790600667408232,0.7646055437100213
French,0.7691824689187492,0.8976469075478977,0.7833776323860151,0.7721333137571575,0.7755536626916525,0.791678874890126,0.7822682786413356,0.7736195452619686,0.789071190211346,0.7808102345415778
Spanish,0.7706894386537737,0.7882216793107882,0.8938867307299121,0.7772720599030979,0.7734241908006815,0.7906533841195429,0.7792746113989637,0.7689591865555713,0.7949110122358176,0.7763326226012793
Japanese,0.7601406505086022,0.7715057220007715,0.773972602739726,0.8760828072236089,0.7657580919931857,0.7749780251977733,0.7638457109959701,0.7659935037424093,0.782397107897664,0.7652452025586354
Chinese,0.8126334296119553,0.8157387167288157,0.8132283786546718,0.8198502422551754,0.9473310618966496,0.8291825373571637,0.8151986183074266,0.8189521254060161,0.8145161290322581,0.8082089552238806
Turkish,0.7472058269496421,0.7617333161887617,0.7612962584338581,0.7521656144472177,0.7470187393526405,0.8691766774099033,0.7584340817501439,0.7552605564185849,0.7664071190211346,0.7555437100213219
Portuguese,0.8073590355393696,0.8233251896618233,0.8236556941320793,0.8141242108354133,0.8104770017035775,0.8239085848227365,0.9497985031663788,0.8199406863437367,0.8239710789766407,0.8245202558635395
Korean,0.8004520909205074,0.8077664909348078,0.8069924350848497,0.8119218910585817,0.8023850085178875,0.8164371520656314,0.8086355785837651,0.9460528173986725,0.8110400444938821,0.7984008528784649
German,0.799447444430491,0.8195962453388196,0.8160907789818033,0.8097195712817501,0.8059341283361726,0.8199531204219161,0.8162348877374784,0.8068069481711623,0.9584260289210234,0.8182302771855011
Italian,0.7730754740675625,0.7898932750417899,0.7858311183806992,0.7806489502275731,0.7751277683134583,0.790506885438031,0.7888313183649971,0.7717836463776303,0.7992213570634038,0.8960554371002132
